snowflake|sender_uid|channel_uid|created_at|modified_at|read_by|text
41753496457847040|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804649|1742999804649||hiya!
41753496550121728|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804660|1742999804660||hiya!
41753496608841984|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804667|1742999804667||hiya!
41753496659173632|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804673|1742999804673||hiya!
41753496701116672|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804678|1742999804678||hiya!
41753496751448320|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804684|1742999804684||hiya!
41753496793391360|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804689|1742999804689||hiya!
41753496826945792|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804693|1742999804693||hiya!
41753496860500224|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804697|1742999804697||hiya!
41753496885666048|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804700|1742999804700||hiya!
41753496919220480|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804704|1742999804704||hiya!
41753496944386304|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804707|1742999804707||hiya!
41753496977940736|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804711|1742999804711||hiya!
41753497003106560|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804714|1742999804714||hiya!
41753497036660992|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804718|1742999804718||hiya!
41753497061826816|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804721|1742999804721||hiya!
41753497086992640|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804724|1742999804724||hiya!
41753497112158464|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804727|1742999804727||hiya!
41753497145712896|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804731|1742999804731||hiya!
41753497170878720|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804734|1742999804734||hiya!
41753497196044544|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804737|1742999804737||hiya!
41753497229598976|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804741|1742999804741||hiya!
41753497254764800|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804744|1742999804744||hiya!
41753497279930624|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804747|1742999804747||hiya!
41753497305096448|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804750|1742999804750||hiya!
41753497338650880|a24d5a371f9b63cec5a673aad4cfa4e5|3004345da3235042cee426150cacd9e4|1742999804754|1742999804754||hiya!
